C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Q1P1-10m,Q1P1-20m,Q1P1-30m,Q1P1-60m,Q1P1-90m,Q1P1-315m,Q1P4-0.5m,Q1P4-10m,Q1P4-20m,Q1P4-30m,Q1P4-60m,Q1P4-90m,Q1P4-314m,Q1P6-10m,Q1P6-20m,Q1P6-30m,Q1P6-60m,Q1P6-90m,Q1P6-822m,Q1P7-0.5m,Q1P7-10m,Q1P7-20m,Q1P7-30m,Q1P7-60m,Q1P7-90m,Q1P7-3345m,Q2P1-10m,Q2P1-20m,Q2P1-30m,Q2P1-30m-2,Q2P1-60m,Q2P1-90m,Q2P1-316m,Q2P4-0.5m,Q2P4-10m,Q2P4-20m,Q2P4-30m,Q2P4-60m,Q2P4-90m,Q2P4-352m,Q2P6-0.5m,Q2P6-10m,Q2P6-20m,Q2P6-30m,Q2P6-60m,Q2P6-90m,Q2P6-922m,Q2P7-0.5m,Q2P7-10m,Q2P7-20m,Q2P7-30m,Q2P7-60m,Q2P7-90m,Q2P7-3237m,Q4P1-10m,Q4P1-20m,Q4P1-30m,Q4P1-90m,Q4P1-150m,Q4P1-316m,Q4P2-10m,Q4P2-30m,Q4P2-60m,Q4P2-90m,Q4P2-176m,Q4P4-10m,Q4P4-20m,Q4P4-30m,Q4P4-40m,Q4P4-50m,Q4P4-334m,Q4P5-10m,Q4P5-20m,Q4P5-30m,Q4P5-40m,Q4P5-90m,Q4P5-139m,Q4P6-10m,Q4P6-20m,Q4P6-30m,Q4P6-40m,Q4P6-120m,Q4P6-871,Q4P7-10m,Q4P7-20m,Q4P7-30m,Q4P7-40m,Q4P7-200m,Q4P7-3415m,Q1P7-MQ1,Q1P7-MQ2,Q1P7-MQ3,Q2P1-MQ1,Q2P1-MQ2,Q2P1-MQ3,PLFA-3,PLFA-4,PLFA-5,PLFA-6,PLFA-7,PLFA-New2b
7,5,3,1,0,0,0,0,0,0,150.019666,0.714285714,0.428571429,149.852153,150,0.147847,5,2,0.0778564206,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8348238,21.4198069,0,0,0,7.04130579
8,9,2,1,0,0,0,0,0,0,150.056052,1.125,0.25,149.888498,150,0.111502228,4,2,0.0889787664,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.123964,360.279482,363.333681,328.168202,310.450642,314.876448
8,8,3,0,0,0,0,0,0,0,151.040067,1,0.375,150.871415,151,0.128585388,5,2,0.0889787664,0.538461538,0,0,0,0,0,0,172.28739,111.822684,0,78.2159305,59.3873848,86.4327454,1765.47046,60.3847088,71.6329663,79.3606376,76.3008414,0,0,0,0,0,0,0,197.261342,0,141.790086,1123.28504,0,0,0,0,0,0,383.52255,0,0,0,406.908929,0,0,1402.94914,0,0,0,0,182.027369,1036.37514,1080.86675,142.285129,583.954973,152.167253,229.768877,201.548861,36.917454,154.552933,59.5430342,66.8564637,47.9813328,0,85.8557343,76.4035414,278.612236,56.2396796,1212.83644,103.143781,0,72.0500158,108.102814,143.511687,115.291473,165.61067,87.9722704,77.9642656,107.761313,0,858.520334,0,156.746362,81.1301852,51.2182744,903.213069,0,0,242.881756,88.5026658,111.072886,59.811898,533.471014,0,0,0,0,0,0,951.10693,950.746247,1062.88879,924.393861,971.862016,888.898497
7,8,2,2,0,0,0,0,0,0,151.051301,1.14285714,0.285714286,150.882635,151,0.117364532,3,1,0.0778564206,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.702227,137.143295,105.330357,111.183163,137.265723,106.113157
9,12,2,0,0,0,0,0,0,0,151.076453,1.33333333,0.222222222,150.907759,151,0.0922406167,4,2,0.100101112,0.375,0,0,0,0,0,0,0,83.8770135,0,0,50.2885439,0,0,57.3706323,43.5603748,64.3271901,54.1024808,0,0,0,199.265476,0,0,128.454366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3822605,0,0,0,0,75.9571274,103.479089,104.961252,96.5996701,71.2436465,0,113.195699,105.425405,172.438194,77.9829826,0,125.340423,0,94.9095651,108.77366,126.384538,115.719667,126.27081,108.344288,93.886034,92.6065315,0,0,0,115.693651,115.863949,76.6095782,0,0,0,0,107.447211,124.0561,50.1645889,0,0,0,0,0,0,0,451.19088,465.981365,476.312989,484.376436,441.127052,451.162966
7,7,3,1,0,0,0,0,0,0,152.035316,1,0.428571429,151.865552,152,0.134447692,4,1,0.0778564206,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2540512,0,0,0,0,0,0,0,0,0,165.008975,0,458.379431,0,0,0,0,0,0,251.231264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5656289,0,0,0,119.732498,0,0,0,0,0,0,0,0,111.968811,16.6865189,0,0,0,0,0,53.8928169,0,60.0652837,35.0911533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818.928355,813.503964,882.15017,780.741178,807.03971,718.906909
8,11,2,1,0,0,0,0,0,0,152.071702,1.375,0.25,151.901897,152,0.0981029207,3,1,0.0889787664,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.900599,122.710336,129.658081,136.564746,154.550332,120.655922
7,6,2,0,1,0,0,0,0,0,153.001574,0.857142857,0.285714286,152.830731,153,0.169269224,5,3,0.0778564206,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8595789,17.5478182,0,0,0,9.86518294
7,6,4,0,0,0,0,0,0,0,153.019332,0.857142857,0.571428571,152.848469,153,0.151530853,5,1,0.0778564206,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.18176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6800058,0,0,0,39.304556,0,128.385687,18.7907834,0,43.0686075,0,33.2610912,46.3615788,60.0041116,0,72.2749863,39.8128245,37.6532354,0,0,0,0,0,0,0,0,0,0,0,48.1211858,46.6538296,0,0,0,0,0,0,0,0,277.199747,273.66722,344.682761,321.705457,342.299952,275.347882
6,6,3,2,0,0,0,0,0,0,153.030565,1,0.5,152.85969,153,0.140309996,3,0,0.0667340748,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.423183,205.129987,251.784865,238.972055,195.331831,214.498793
