C,H,O,N,S,Na,m/z
13,18,4,0,0,0,237.113232
12,16,5,0,0,0,239.092497
13,20,4,0,0,0,239.128882
12,18,5,0,0,0,241.108147
11,16,6,0,0,0,243.087411
12,20,5,0,0,0,243.123796
13,16,5,0,0,0,251.092497
14,20,4,0,0,0,251.128882
12,14,6,0,0,0,253.071761
13,18,5,0,0,0,253.108147
12,16,6,0,0,0,255.087411
13,20,5,0,0,0,255.123797
11,14,7,0,0,0,257.066676
12,18,6,0,0,0,257.103061
11,16,7,0,0,0,259.082326
15,18,4,0,0,0,261.113232
15,20,4,0,0,0,263.128882
14,18,5,0,0,0,265.108146
13,16,6,0,0,0,267.087411
14,20,5,0,0,0,267.123797
15,24,4,0,0,0,267.160182
12,15,6,1,0,0,268.08266
12,14,7,0,0,0,269.066676
13,18,6,0,0,0,269.103061
14,22,5,0,0,0,269.139446
12,16,7,0,0,0,271.082326
13,20,6,0,0,0,271.118711
14,24,5,0,0,0,271.155097
12,18,7,0,0,0,273.097976
13,22,6,0,0,0,273.134361
15,18,5,0,0,0,277.108146
16,22,4,0,0,0,277.144532
13,13,6,1,0,0,278.06701
14,17,5,1,0,0,278.103396
14,16,6,0,0,0,279.087411
15,20,5,0,0,0,279.123797
16,24,4,0,0,0,279.160182
13,15,6,1,0,0,280.08266
14,19,5,1,0,0,280.119046
13,14,7,0,0,0,281.066676
14,18,6,0,0,0,281.103061
15,22,5,0,0,0,281.139446
16,26,4,0,0,0,281.175832
13,17,6,1,0,0,282.09831
13,16,7,0,0,0,283.082326
14,20,6,0,0,0,283.118711
15,24,5,0,0,0,283.155097
12,15,7,1,0,0,284.077575
13,19,6,1,0,0,284.11396
12,14,8,0,0,0,285.06159
13,18,7,0,0,0,285.097976
14,22,6,0,0,0,285.134361
15,26,5,0,0,0,285.170747
12,16,8,0,0,0,287.07724
13,20,7,0,0,0,287.113626
14,24,6,0,0,0,287.150011
12,18,8,0,0,0,289.09289
16,18,5,0,0,0,289.108146
17,22,4,0,0,0,289.144532
15,16,6,0,0,0,291.087411
14,16,5,2,0,0,291.098645
16,20,5,0,0,0,291.123797
14,15,6,1,0,0,292.08266
15,19,5,1,0,0,292.119046
13,14,6,2,0,0,293.077909
15,18,6,0,0,0,293.103061
16,22,5,0,0,0,293.139446
14,17,6,1,0,0,294.09831
14,16,7,0,0,0,295.082326
15,20,6,0,0,0,295.118711
16,24,5,0,0,0,295.155097
13,15,7,1,0,0,296.077575
14,19,6,1,0,0,296.11396
14,18,7,0,0,0,297.097976
15,22,6,0,0,0,297.134361
16,26,5,0,0,0,297.170747
13,17,7,1,0,0,298.093225
13,16,8,0,0,0,299.07724
14,20,7,0,0,0,299.113626
13,19,7,1,0,0,300.108875
13,18,8,0,0,0,301.09289
14,22,7,0,0,0,301.129276
18,22,4,0,0,0,301.144532
15,26,6,0,0,0,301.165661
14,12,6,2,0,0,303.062259
16,16,6,0,0,0,303.087411
15,16,5,2,0,0,303.098645
13,20,8,0,0,0,303.10854
17,20,5,0,0,0,303.123797
18,24,4,0,0,0,303.160182
16,19,5,1,0,0,304.119046
12,18,7,0,1,0,305.070047
14,14,6,2,0,0,305.077909
16,18,6,0,0,0,305.103061
17,22,5,0,0,0,305.139446
18,26,4,0,0,0,305.175832
15,17,6,1,0,0,306.09831
16,21,5,1,0,0,306.134696
15,16,7,0,0,0,307.082326
14,16,6,2,0,0,307.093559
16,20,6,0,0,0,307.118711
17,24,5,0,0,0,307.155097
18,28,4,0,0,0,307.191482
14,15,7,1,0,0,308.077575
15,19,6,1,0,0,308.11396
16,23,5,1,0,0,308.150346
13,14,7,2,0,0,309.072824
